symbol,name,sector,sub_industry,sector_etf
USB,U.S. Bancorp,Financials,Diversified Banks,XLF
UBER,Uber,Industrials,Passenger Ground Transportation,XLI
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,XLRE
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,XLY
UNP,Union Pacific Corporation,Industrials,Rail Transportation,XLI
UAL,United Airlines Holdings,Industrials,Passenger Airlines,XLI
UPS,United Parcel Service,Industrials,Air Freight & Logistics,XLI
URI,United Rentals,Industrials,Trading Companies & Distributors,XLI
UNH,UnitedHealth Group,Health Care,Managed Health Care,XLV
UHS,Universal Health Services,Health Care,Health Care Facilities,XLV
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,XLE
VEEV,Veeva Systems,Health Care,Health Care Technology,XLV
VTR,Ventas,Real Estate,Health Care REITs,XLRE
VLTO,Veralto,Industrials,Environmental & Facilities Services,XLI
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,XLK
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,XLI
VZ,Verizon,Communication Services,Integrated Telecommunication Services,XLC
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,XLV
VRT,Vertiv,Industrials,Electrical Components & Equipment,XLI
VTRS,Viatris,Health Care,Pharmaceuticals,XLV
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,XLRE
V,Visa Inc.,Financials,Transaction & Payment Processing Services,XLF
VST,Vistra Corp.,Utilities,Electric Utilities,XLU
VMC,Vulcan Materials Company,Materials,Construction Materials,XLB
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,XLF
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,XLI
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,XLI
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,XLP
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,XLC
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,XLC
WM,Waste Management,Industrials,Environmental & Facilities Services,XLI
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,XLV
WEC,WEC Energy Group,Utilities,Electric Utilities,XLU
WFC,Wells Fargo,Financials,Diversified Banks,XLF
WELL,Welltower,Real Estate,Health Care REITs,XLRE
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,XLV
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",XLK
WY,Weyerhaeuser,Real Estate,Timber REITs,XLRE
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,XLY
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,XLE
WTW,Willis Towers Watson,Financials,Insurance Brokers,XLF
WDAY,"Workday, Inc.",Information Technology,Application Software,XLK
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,XLY
XEL,Xcel Energy,Utilities,Multi-Utilities,XLU
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,XLI
YUM,Yum! Brands,Consumer Discretionary,Restaurants,XLY
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,XLK
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,XLV
ZTS,Zoetis,Health Care,Pharmaceuticals,XLV
